Winner,NumTricks,NAcesP1,NAcesP2,NShuffles,ArtificiallyEnded
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,100001,1,3,0,True
Player 1,3976,2,2,0,False
Player 1,1078,0,4,0,False
Player 1,100001,1,3,0,True
Player 1,2042,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 2,580,1,3,0,False
Player 1,100001,3,1,0,True
Player 2,1713,2,2,0,False
Player 1,2133,3,1,0,False
Player 1,5692,2,2,0,False
Player 1,100001,2,2,0,True
Player 2,3671,2,2,0,False
Player 2,5386,2,2,0,False
Player 1,1505,3,1,0,False
Player 1,1019,3,1,0,False
Player 1,995,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,704,2,2,0,False
Player 1,186,3,1,0,False
Player 2,1245,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,978,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,8883,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,829,0,4,0,False
Player 1,100001,4,0,0,True
Player 1,100001,1,3,0,True
Player 1,1259,1,3,0,False
Player 1,100001,3,1,0,True
Player 2,398,2,2,0,False
Player 1,100001,2,2,0,True
Player 2,564,1,3,0,False
Player 1,7724,2,2,0,False
Player 1,246,3,1,0,False
Player 2,1198,2,2,0,False
Player 1,504,3,1,0,False
Player 2,2705,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,2600,2,2,0,False
Player 2,1256,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 2,2030,0,4,0,False
Player 1,845,1,3,0,False
Player 1,1939,2,2,0,False
Player 1,2799,3,1,0,False
Player 1,1090,2,2,0,False
Player 1,4262,3,1,0,False
Player 1,100001,0,4,0,True
Player 1,1684,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,100001,3,1,0,True
Player 1,3682,3,1,0,False
Player 1,1432,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,1318,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,1192,2,2,0,False
Player 2,2656,1,3,0,False
Player 1,100001,3,1,0,True
Player 1,100001,2,2,0,True
Player 2,2239,2,2,0,False
Player 1,1305,2,2,0,False
Player 2,990,2,2,0,False
Player 2,1368,1,3,0,False
Player 1,100001,4,0,0,True
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,2283,2,2,0,False
Player 1,100001,2,2,0,True
Player 2,1106,3,1,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,1694,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,1,3,0,True
Player 2,910,2,2,0,False
